gamma0,UMV,LRP,PDDi,WeertC,model,slc
471264.2917,4.56E+20,0.0002188987174,0.01376324833,23209.67596,hadcm3,6.024841291
9618.882299,7.85E+20,0.0006101973572,0.01244025433,60463.91734,hadcm3,-7.659268015
21005.34364,3.29E+20,0.0003204676932,0.008783972187,18201.52538,hadcm3,7.624166221
21005.34364,3.64E+20,0.0007573952484,0.009333490328,56131.4856,hadcm3,-4.406212556
159188.5414,4.66E+20,0.000248595445,0.01129330542,46410.30377,hadcm3,-1.144756612
471264.2917,6.92E+20,0.0006962337803,0.01594320872,21026.81958,hadcm3,8.770895527
21005.34364,7.16E+20,0.0002641281727,0.01251497986,47541.59748,hadcm3,-9.166540023
21005.34364,2.41E+20,0.0006821820438,0.01736334533,37736.98865,hadcm3,-2.157024024
14477.33676,3.57E+20,0.0004563822149,0.01112721582,30988.25326,hadcm3,-0.9756067899
9618.882299,8.10E+20,0.0007679351576,0.009163859433,50558.18729,hadcm3,-4.781831137
86984.00071,3.13E+19,0.0003620181524,0.01568343003,43208.1282,hadcm3,-4.605998024
86984.00071,3.41E+20,0.0005537629911,0.01131432151,35340.21212,hadcm3,-0.2624821467
14477.33676,5.46E+20,0.0004161466528,0.01108057069,36771.85311,hadcm3,-3.287941273
21005.34364,8.98E+20,0.0001413757841,0.01828968341,17603.86819,hadcm3,
86984.00071,5.69E+20,0.0006382550066,0.01213862672,48839.36268,hadcm3,0.2822750219
471264.2917,2.15E+20,0.000667047357,0.01608432364,12164.39133,hadcm3,
21005.34364,9.57E+20,0.0005969459535,0.01223884871,28079.55828,hadcm3,1.566159912
9618.882299,9.25E+20,3.88E-05,0.009878740608,22846.37812,hadcm3,1.12753564
21005.34364,3.12E+20,0.000743134399,0.01203127336,51296.82688,hadcm3,-2.916009984
9618.882299,4.37E+19,9.52E-05,0.01690197907,59499.83164,hadcm3,-16.67125899
9618.882299,2.06E+20,0.0007158110488,0.01959005894,22300.78404,control,3.96744001
159188.5414,7.97E+20,0.0005273064933,0.016819248,13110.00177,control,11.8102028
159188.5414,2.37E+19,0.0003959650859,0.01197851588,16585.21943,control,7.002230561
471264.2917,6.49E+20,0.0006618007492,0.01355036591,31568.73903,control,-4.300124578
159188.5414,3.21E+20,0.0001022167927,0.01814896501,39836.39122,control,-9.267446692
86984.00071,1.49E+20,0.00034441569,0.01992940821,28201.90951,control,-2.896485353
159188.5414,8.87E+20,2.14E-05,0.01271047993,44002.9993,control,-11.52516243
86984.00071,6.58E+20,0.0002943009074,0.01727433303,50219.64408,control,-8.945866959
86984.00071,1.08E+20,0.0005212907124,0.01718284559,58869.63885,control,-9.842537801
159188.5414,7.19E+19,0.000647430458,0.01974020607,14564.48006,control,9.34117848
9618.882299,2.56E+20,0.0001770793962,0.01573544076,57976.1709,control,-10.65805853
86984.00071,9.92E+20,0.0004776064834,0.008196905718,44984.03262,control,-6.696501336
86984.00071,6.59E+20,9.13E-06,0.01581673364,37845.75785,control,-5.247643384
21005.34364,8.67E+20,0.0003861732893,0.01031156988,28644.13627,control,-0.2022594052
86984.00071,3.97E+20,0.0006733401169,0.01365115296,11788.66899,control,13.50939977
21005.34364,3.95E+18,0.0002748625694,0.009265380492,55329.60532,control,-9.683604418
86984.00071,3.86E+20,0.0004898406253,0.008247968298,46705.01399,control,-7.088601505
21005.34364,1.18E+19,0.0007474532182,0.01923532624,33688.46672,control,-2.580099151
159188.5414,1.10E+20,0.0003487416937,0.009455541255,35893.34528,control,-7.108036206
9618.882299,3.78E+20,0.0006325173789,0.01172940514,13538.0634,control,12.84276221
159188.5414,6.01E+20,0.0005155521823,0.01147366702,40469.04694,control,-8.268400184
471264.2917,5.98E+20,0.0007067850312,0.01856780918,57726.91524,control,-12.76908909
14477.33676,9.73E+20,0.0002880637541,0.01893830157,48511.13188,control,-8.306752847
9618.882299,6.38E+19,0.0002214795209,0.0140499266,29226.79605,control,-0.3218228066
14477.33676,7.76E+19,0.0001319131798,0.008877433583,34257.01652,control,-2.875373498
471264.2917,9.41E+20,8.70E-05,0.009948269085,17146.58342,control,7.039226396
471264.2917,2.64E+20,0.0001648746403,0.01832536171,56722.24988,control,-15.66110578
14477.33676,1.94E+20,0.000445147469,0.008974009088,36284.82477,control,-3.259374837
14477.33676,7.65E+20,7.80E-05,0.008540029656,41688.20902,control,-6.356746778
14477.33676,9.84E+20,0.0007632712295,0.01660640202,61706.95591,control,-9.141129736
471264.2917,3.06E+20,0.0004996050504,0.0116883553,30646.734,control,-3.97358851
471264.2917,7.30E+20,0.0005362013101,0.01414706657,25595.84133,control,-1.030271041
9618.882299,9.66E+20,0.0004019533484,0.01540604586,47173.55578,control,-7.460673408
14477.33676,8.40E+20,0.0004620619087,0.01151908929,9529.476147,control,20.19091266
9618.882299,8.46E+20,0.0005649674856,0.01627811448,56981.26246,control,-9.043216702
159188.5414,1.59E+20,0.0006057641673,0.0151353135,22085.39579,control,1.378433276
14477.33676,7.52E+20,0.0005825812034,0.01448970052,58432.17316,control,-9.353180219
159188.5414,6.11E+20,0.0002713517601,0.01523134213,26521.90812,control,-1.837979639
159188.5414,6.72E+20,0.0002082017037,0.01678030408,38971.09408,control,-8.473067607
9618.882299,9.45E+20,4.47E-05,0.01752839612,42362.57609,control,-6.747254753
9618.882299,2.69E+20,0.0004361876152,0.01432709167,20723.53349,control,5.435137322
21005.34364,4.69E+20,0.0002358160712,0.0170344039,29623.22504,control,-0.7732947569
86984.00071,6.34E+20,5.50E-06,0.01904518304,31898.44214,control,-2.284776223
21005.34364,5.12E+20,8.18E-05,0.01969974976,33459.66576,control,-2.96438734
471264.2917,2.33E+20,0.0003178364756,0.01617363666,25220.63752,control,-0.8595122399
14477.33676,4.14E+20,0.0003024305734,0.01236602441,40847.70347,control,-5.430901799
86984.00071,3.49E+20,0.0001714927037,0.01499045975,26819.33472,control,-1.852736523
159188.5414,8.72E+20,0.0001802457874,0.01786810082,27430.21653,control,-2.569998765
9618.882299,2.98E+20,0.0002433696654,0.009675638423,19270.5628,control,6.892704956
471264.2917,1.86E+20,0.0002031859461,0.01000747185,18827.07663,control,4.801807756
159188.5414,5.25E+20,0.0003331290552,0.01945680313,43344.2105,control,-9.95580525
14477.33676,8.83E+20,0.000357493422,0.01013587861,10450.99306,control,18.68863771
86984.00071,5.66E+20,0.0007055607034,0.01093401524,7977.616964,control,20.93691305
471264.2917,4.96E+20,0.0007963010546,0.01280525023,45100.53759,control,-9.167687248
471264.2917,7.73E+20,0.0005446277595,0.01983549175,37050.9696,control,-6.864849496
14477.33676,9.96E+19,0.0007852790489,0.008484454321,21470.84923,control,4.629843726
21005.34364,9.13E+20,4.97E-05,0.01083203532,26121.43394,control,1.333165567
471264.2917,7.05E+20,0.0007368989976,0.01054556136,24917.38297,control,-0.4657370105
9618.882299,1.75E+20,0.0005911196251,0.01075271589,53177.58063,control,-8.096600378
86984.00071,9.29E+20,0.00033585127,0.01557868085,60696.91462,control,-11.31522933
14477.33676,1.81E+20,0.0005063958041,0.01502744197,23639.3552,control,3.22068659
9618.882299,5.89E+19,0.0005488556048,0.01861140042,12674.07145,control,14.62346652
86984.00071,5.83E+20,0.0001084078483,0.0118057727,61164.28626,control,-12.79461317
159188.5414,1.29E+20,0.0007773927387,0.0131195617,38412.64645,control,-7.160276514
9618.882299,1.35E+20,0.0003745242312,0.01746321605,52662.08802,control,-8.70081004
86984.00071,5.06E+20,0.0006251154725,0.01765519013,45626.03274,control,-6.528283446
9618.882299,5.58E+20,0.0007285297071,0.01337488666,48255.48389,control,-6.782106092
86984.00071,8.24E+20,5.84E-05,0.009776431796,49759.34409,control,-9.900130399
471264.2917,6.21E+20,0.0004691941732,0.01887767755,34679.87268,control,-5.715468059
14477.33676,6.85E+20,0.0005086225287,0.01067852923,9071.017708,control,20.97539431
159188.5414,7.48E+20,1.93E-05,0.008387215656,44382.05487,control,-11.59777038
86984.00071,4.32E+20,0.0001544219139,0.01658380033,59921.5167,control,-12.24959649
21005.34364,7.18E+20,0.0006164862321,0.01938395372,53710.80739,control,-8.297721633
9618.882299,2.81E+20,0.0003732928016,0.01048020803,9925.10594,control,20.00688444
471264.2917,7.40E+20,0.0007249600266,0.01298626504,39128.78557,control,-7.192787537
159188.5414,4.49E+20,0.0001257410854,0.01345583866,14183.55874,control,11.26830382
14477.33676,8.01E+20,0.0002563355932,0.01483138421,52239.05199,control,-9.193193199
21005.34364,9.04E+20,0.0001975104158,0.01423790766,8443.205406,control,23.49797518
21005.34364,4.86E+20,0.0004838738569,0.01399927102,54630.29528,control,-9.036930345
